1,0,3228,2.76906e+07
1,0.5,363.849,3.48999e+06
1,1,29.7953,285793
1,1.5,2.44,23404.2
1,2,0.199818,1916.6
1,2.5,0.0163634,156.954
1,3,0.00134002,12.8532
1,3.5,0.000109731,1.05253
1,4,8.98613e-06,0.0861933
1,4.5,7.35893e-07,0.00705855
1,5,6.02633e-08,0.000578035
1,5.5,4.93508e-09,4.73364e-05
1,6,4.04121e-10,3.87629e-06
1,6.5,3.30943e-11,3.17435e-07
1,7,2.71014e-12,2.59953e-08
1,7.5,2.2194e-13,2.12881e-09
1,8,1.8175e-14,1.74332e-10
1,8.5,1.31331e-15,1.25971e-11
1,9,9.48998e-17,9.1026e-13
1,9.5,6.85737e-18,6.57748e-14
1,10,4.95537e-19,4.75309e-15
2,0,3228,2.76906e+07
2,0.5,29.7158,285030
2,1,0.199074,1909.49
2,1.5,0.00133378,12.7934
2,2,8.93615e-06,0.0857144
2,2.5,5.98718e-08,0.000574281
2,3,4.01134e-10,3.84763e-06
2,3.5,2.68729e-12,2.57761e-08
2,4,1.80047e-14,1.72698e-10
2,4.5,1.2063e-16,1.15706e-12
2,5,8.08209e-19,7.75223e-15
2,5.5,5.41494e-21,5.19392e-17
2,6,3.62759e-23,3.47953e-19
2,6.5,2.43047e-25,2.33126e-21
2,7,1.62839e-27,1.56192e-23
2,7.5,1.091e-29,1.04647e-25
2,8,7.30964e-32,7.01126e-28
2,8.5,3.81275e-34,3.65712e-30
2,9,1.99627e-36,1.91483e-32
2,9.5,6.9062e-38,6.73193e-34
2,10,6.9062e-38,6.73193e-34
5,0,3228,2.76906e+07
5,0.5,0.016178,155.177
5,1,5.93218e-08,0.00056901
5,1.5,2.1758e-13,2.08698e-09
5,2,7.98026e-19,7.65456e-15
5,2.5,2.92698e-24,2.80751e-20
5,3,1.07354e-29,1.02972e-25
5,3.5,3.93651e-35,3.77584e-31
5,4,2.01941e-38,1.95804e-34
5,4.5,2.01941e-38,1.95804e-34
5,5,2.01941e-38,1.95804e-34
5,5.5,2.01941e-38,1.95804e-34
5,6,2.01941e-38,1.95804e-34
5,6.5,2.01941e-38,1.95804e-34
5,7,2.01941e-38,1.95804e-34
5,7.5,2.01941e-38,1.95804e-34
5,8,2.01941e-38,1.95804e-34
5,8.5,2.01941e-38,1.95804e-34
5,9,2.01941e-38,1.95804e-34
5,9.5,2.01941e-38,1.95804e-34
5,10,2.01941e-38,1.95804e-34
